,0,1,2020-04-30 00:00:00,2020-05-31 00:00:00,2020-06-30 00:00:00,2020-07-31 00:00:00,2020-08-31 00:00:00,2020-09-30 00:00:00,2020-10-31 00:00:00,2020-11-30 00:00:00,2020-12-31 00:00:00,2021-01-31 00:00:00,2021-02-28 00:00:00,2021-03-31 00:00:00
0,AK,1bedroom,144390.1097833046,144195.7384657712,144250.56400449428,144440.817369486,144514.4950479135,144385.711580026,144096.27587188504,143803.10141820862,143698.1659911638,143817.68123334867,144097.83388694903,144328.91628865912
0,AK,2bedroom,203403.2882598471,203853.4033431613,204528.12965871516,205233.1643156816,205776.47934664047,206028.25721169697,206028.0181655138,205964.8779322439,206032.5225127391,206333.2996280524,206785.81585241947,207211.44087328418
0,AK,3bedroom,322831.8316979051,323312.23534040945,323797.22581598104,324272.46945840155,324837.5670810484,325309.8151498389,325909.6894582377,326397.0405822249,326992.1464872387,327513.36044448725,328080.0015315223,328641.028406659
0,AK,4bedroom,404906.2336785309,405580.36459055153,406214.1934817453,406810.907234673,407382.7368571954,407939.08442479,408479.21542116615,409009.9170564497,409535.7961353804,410050.65144694474,410566.714234718,411075.4594578847
0,AK,5bedroomOrMore,515785.37956100516,516312.312860093,516822.02929811616,517377.31914524204,517969.696329861,518530.0518689315,519057.18028547446,519615.0688681856,520211.93801685853,520782.57297787647,521312.0734080902,521860.7753564234
0,AK,AllHomes,329258.15029863355,329790.97575220343,330354.5692606785,330899.2574329198,331526.6955871687,332057.3633319114,332711.3865471443,333247.22403247765,333894.0244928065,334458.98202381923,335073.5144218517,335680.82469673216
0,AL,1bedroom,157593.63187269785,157572.31452983362,157478.79379099357,157369.60519529379,157336.61612490882,157392.90118516126,157501.1530043023,157579.17985122206,157568.38231509546,157479.3870008597,157375.8992399137,157335.77902030945
0,AL,2bedroom,128251.71180526316,128608.20522795187,128841.0141589925,129148.8702587121,129464.78330902716,129762.79922786212,130041.37576476514,130277.44368143126,130464.34486578128,130614.15897800178,130745.59571086461,130877.55731716809
0,AL,3bedroom,155531.2974651928,155998.17695042794,156405.47194166278,156877.69763587884,157337.9772560522,157766.51590106383,158169.68364195878,158522.23281109435,158823.6960646488,159091.93146847462,159342.69050365593,159592.2790843959
0,AL,4bedroom,231180.58399811338,231700.92272198532,232164.79822847023,232631.2376850769,233057.26786618851,233476.84273980383,233864.8320516902,234236.24941734457,234584.63039771715,234909.56746309204,235218.18066626412,235500.36566964886
0,AL,5bedroomOrMore,309670.2055788184,310330.646331738,310982.88235303585,311621.16974228673,312161.05536761455,312618.89444389555,312985.8842055722,313327.7863524356,313684.7799793786,314074.7652892766,314496.253101943,314884.7026847211
